"INSEE_COM","LIBELLE","agr","art","cad","int","emp","ouv","act","pagr","part","pcad","pint","pemp","pouv","cat"
"76745","Villy-Sur-Yères",0,5,5,5,15,46,76,0,6.58,6.58,6.58,19.74,60.53,"ouv"
"76746","Vinnemerville",0,0,4,20,32,20,76,0,0,5.26,26.32,42.11,26.32,"emp"
"76747","Virville",5,10,20,50,20,20,125,4,8,16,40,16,16,"int"
"76748","Vittefleur",0,30,20,75,50,69,244,0,12.3,8.2,30.74,20.49,28.28,"int"
"76749","Wanchy-Capval",29,0,5,15,25,54,128,22.66,0,3.91,11.72,19.53,42.19,"ouv"
"76750","Yainville",5,5,10,70,110,164,364,1.37,1.37,2.75,19.23,30.22,45.05,"ouv"
"76751","Yébleron",10,31,21,151,109,167,489,2.04,6.34,4.29,30.88,22.29,34.15,"ouv"
"76752","Yerville",12,65,85,104,300,247,813,1.48,8,10.46,12.79,36.9,30.38,"emp"
"76753","Ymare",0,44,73,206,117,48,488,0,9.02,14.96,42.21,23.98,9.84,"int"
"76754","Yport",5,20,25,40,80,93,263,1.9,7.6,9.51,15.21,30.42,35.36,"ouv"
"76755","Ypreville-Biville",10,5,15,40,50,85,205,4.88,2.44,7.32,19.51,24.39,41.46,"ouv"
"76756","Yquebeuf",0,16,10,10,10,21,67,0,23.88,14.93,14.93,14.93,31.34,"ouv"
"76757","Yvecrique",5,5,20,82,108,71,291,1.72,1.72,6.87,28.18,37.11,24.4,"emp"
"76758","Yvetot",0,188,472,884,1141,1217,3902,0,4.82,12.1,22.66,29.24,31.19,"ouv"
"76759","Yville-Sur-Seine",5,5,10,73,36,47,176,2.84,2.84,5.68,41.48,20.45,26.7,"int"
