"INSEE_COM","LIBELLE","agr","art","cad","int","emp","ouv","act","pagr","part","pcad","pint","pemp","pouv","cat"
"76042","Auvilliers",17,6,0,6,6,0,35,48.57,17.14,0,17.14,17.14,0,"agr"
"76043","Auzebosc",4,12,36,100,136,116,404,0.99,2.97,8.91,24.75,33.66,28.71,"emp"
"76044","Auzouville-Auberbosc",10,5,20,30,40,40,145,6.9,3.45,13.79,20.69,27.59,27.59,"emp"
"76045","Auzouville-L'esneval",4,4,4,31,32,55,130,3.08,3.08,3.08,23.85,24.62,42.31,"ouv"
"76046","Auzouville-Sur-Ry",0,24,20,59,59,78,240,0,10,8.33,24.58,24.58,32.5,"ouv"
"76047","Auzouville-Sur-Saâne",0,4,4,12,16,12,48,0,8.33,8.33,25,33.33,25,"emp"
"76048","Avesnes-En-Bray",8,4,12,20,39,39,122,6.56,3.28,9.84,16.39,31.97,31.97,"emp"
"76049","Avesnes-En-Val",0,10,0,24,20,38,92,0,10.87,0,26.09,21.74,41.3,"ouv"
"76050","Avremesnil",10,15,50,65,115,135,390,2.56,3.85,12.82,16.67,29.49,34.62,"ouv"
"76051","Bacqueville-En-Caux",0,25,65,145,184,275,694,0,3.6,9.37,20.89,26.51,39.63,"ouv"
"76052","Bailleul-Neuville",10,0,10,29,43,12,104,9.62,0,9.62,27.88,41.35,11.54,"emp"
"76053","Baillolet",10,0,0,20,10,0,40,25,0,0,50,25,0,"int"
"76054","Bailly-En-Rivière",16,12,4,16,79,75,202,7.92,5.94,1.98,7.92,39.11,37.13,"emp"
"76055","Baons-Le-Comte",4,12,25,33,33,45,152,2.63,7.89,16.45,21.71,21.71,29.61,"ouv"
"76056","Bardouville",5,41,26,67,67,72,278,1.8,14.75,9.35,24.1,24.1,25.9,"ouv"
"76057","Barentin",5,137,365,1159,1390,1269,4325,0.12,3.17,8.44,26.8,32.14,29.34,"emp"
"76058","Baromesnil",5,5,5,40,10,20,85,5.88,5.88,5.88,47.06,11.76,23.53,"int"
"76059","Bazinval",0,8,16,29,45,58,156,0,5.13,10.26,18.59,28.85,37.18,"ouv"
"76060","Beaubec-La-Rosière",5,10,5,54,64,30,168,2.98,5.95,2.98,32.14,38.1,17.86,"emp"
"76062","Beaumont-Le-Hareng",0,5,15,10,35,30,95,0,5.26,15.79,10.53,36.84,31.58,"emp"
"76063","Beauval-En-Caux",5,15,20,40,30,40,150,3.33,10,13.33,26.67,20,26.67,"int"
"76064","Beaurepaire",0,20,20,25,85,40,190,0,10.53,10.53,13.16,44.74,21.05,"emp"
"76065","Beaussault",8,8,8,8,52,64,148,5.41,5.41,5.41,5.41,35.14,43.24,"ouv"
"76066","Beautot",0,0,12,12,8,16,48,0,0,25,25,16.67,33.33,"ouv"
"76067","Beauvoir-En-Lyons",28,16,12,60,64,68,248,11.29,6.45,4.84,24.19,25.81,27.42,"ouv"
"76068","Bec-De-Mortagne",4,12,36,56,81,113,302,1.32,3.97,11.92,18.54,26.82,37.42,"ouv"
"76069","Belbeuf",0,44,205,192,148,110,699,0,6.29,29.33,27.47,21.17,15.74,"cad"
"76070","Bellencombre",0,10,15,50,86,101,262,0,3.82,5.73,19.08,32.82,38.55,"ouv"
"76071","Bellengreville",5,15,10,48,34,48,160,3.12,9.38,6.25,30,21.25,30,"int"
"76072","Belleville-En-Caux",4,20,36,64,108,80,312,1.28,6.41,11.54,20.51,34.62,25.64,"emp"
"76074","Bellière",5,5,0,15,5,0,30,16.67,16.67,0,50,16.67,0,"int"
"76075","Belmesnil",0,4,28,63,47,83,225,0,1.78,12.44,28,20.89,36.89,"ouv"
"76076","Bénarville",0,0,13,8,21,46,88,0,0,14.77,9.09,23.86,52.27,"ouv"
"76077","Bénesville",0,10,5,25,20,10,70,0,14.29,7.14,35.71,28.57,14.29,"int"
"76078","Bennetot",12,0,8,12,20,8,60,20,0,13.33,20,33.33,13.33,"emp"
"76079","Bénouville",0,5,5,15,10,15,50,0,10,10,30,20,30,"int"
"76080","Bermonville",8,8,20,47,67,71,221,3.62,3.62,9.05,21.27,30.32,32.13,"ouv"
"76082","Bernières",8,24,40,87,48,60,267,3,8.99,14.98,32.58,17.98,22.47,"int"
"76083","Bertheauville",0,0,0,4,12,16,32,0,0,0,12.5,37.5,50,"ouv"
"76084","Bertreville",0,0,5,0,10,20,35,0,0,14.29,0,28.57,57.14,"ouv"
"76085","Bertreville-Saint-Ouen",0,12,24,40,40,36,152,0,7.89,15.79,26.32,26.32,23.68,"int"
"76086","Bertrimont",5,0,0,30,20,10,65,7.69,0,0,46.15,30.77,15.38,"int"
"76087","Berville",0,0,25,55,50,65,195,0,0,12.82,28.21,25.64,33.33,"ouv"
"76088","Berville-Sur-Seine",0,10,29,30,89,45,203,0,4.93,14.29,14.78,43.84,22.17,"emp"
"76090","Beuzeville-La-Grenier",0,33,33,167,135,90,458,0,7.21,7.21,36.46,29.48,19.65,"int"
"76091","Beuzeville-La-Guérard",0,9,9,14,5,19,56,0,16.07,16.07,25,8.93,33.93,"ouv"
"76092","Beuzevillette",0,16,16,44,79,91,246,0,6.5,6.5,17.89,32.11,36.99,"ouv"
"76093","Bézancourt",0,5,35,20,15,40,115,0,4.35,30.43,17.39,13.04,34.78,"ouv"
"76094","Bierville",8,8,21,42,17,21,117,6.84,6.84,17.95,35.9,14.53,17.95,"int"
"76095","Bihorel",0,80,581,786,651,275,2373,0,3.37,24.48,33.12,27.43,11.59,"int"
"76096","Biville-La-Baignarde",0,5,5,65,80,95,250,0,2,2,26,32,38,"ouv"
"76097","Biville-La-Rivière",0,0,4,16,20,20,60,0,0,6.67,26.67,33.33,33.33,"emp"
"76099","Blacqueville",9,4,34,98,72,42,259,3.47,1.54,13.13,37.84,27.8,16.22,"int"
"76100","Blainville-Crevon",16,8,128,144,116,68,480,3.33,1.67,26.67,30,24.17,14.17,"int"
"76101","Blangy-Sur-Bresle",10,60,50,115,199,349,783,1.28,7.66,6.39,14.69,25.42,44.57,"ouv"
"76103","Bonsecours",0,110,536,686,445,270,2047,0,5.37,26.18,33.51,21.74,13.19,"int"
"76104","Blosseville",4,8,27,4,35,20,98,4.08,8.16,27.55,4.08,35.71,20.41,"emp"
"76105","Bocasse",4,16,35,66,93,58,272,1.47,5.88,12.87,24.26,34.19,21.32,"emp"
"76106","Bois-D'ennebourg",0,10,70,35,40,20,175,0,5.71,40,20,22.86,11.43,"cad"
"76107","Bois-Guilbert",5,5,5,25,40,30,110,4.55,4.55,4.55,22.73,36.36,27.27,"emp"
"76108","Bois-Guillaume",0,328,1662,1264,586,275,4115,0,7.97,40.39,30.72,14.24,6.68,"cad"
"76109","Bois-Héroult",0,0,10,19,29,10,68,0,0,14.71,27.94,42.65,14.71,"emp"
"76110","Bois-Himont",4,4,4,40,20,68,140,2.86,2.86,2.86,28.57,14.29,48.57,"ouv"
"76111","Bois-L'évêque",5,0,39,65,39,30,178,2.81,0,21.91,36.52,21.91,16.85,"int"
"76112","Bois-Robert",0,0,19,29,48,29,125,0,0,15.2,23.2,38.4,23.2,"emp"
"76113","Boissay",5,10,15,65,35,60,190,2.63,5.26,7.89,34.21,18.42,31.58,"int"
"76114","Bolbec",6,123,157,779,1191,1470,3726,0.16,3.3,4.21,20.91,31.96,39.45,"ouv"
"76115","Bolleville",21,29,16,95,45,66,272,7.72,10.66,5.88,34.93,16.54,24.26,"int"
"76116","Boos",0,90,195,400,438,203,1326,0,6.79,14.71,30.17,33.03,15.31,"emp"
"76117","Bordeaux-Saint-Clair",5,30,10,80,79,55,259,1.93,11.58,3.86,30.89,30.5,21.24,"int"
"76118","Bornambusc",0,0,5,40,10,25,80,0,0,6.25,50,12.5,31.25,"int"
"76119","Bosc-Bérenger",0,0,12,32,12,28,84,0,0,14.29,38.1,14.29,33.33,"int"
"76120","Bosc-Bordel",5,5,25,44,49,45,173,2.89,2.89,14.45,25.43,28.32,26.01,"emp"
"76121","Bosc-Édeline",10,0,20,55,35,45,165,6.06,0,12.12,33.33,21.21,27.27,"int"
"76122","Callengeville",12,8,0,45,37,49,151,7.95,5.3,0,29.8,24.5,32.45,"ouv"
"76123","Bosc-Guérard-Saint-Adrien",8,28,88,123,76,40,363,2.2,7.71,24.24,33.88,20.94,11.02,"int"
"76124","Bosc-Hyons",0,25,4,47,30,72,178,0,14.04,2.25,26.4,16.85,40.45,"ouv"
"76125","Bosc-Le-Hard",0,20,40,126,141,141,468,0,4.27,8.55,26.92,30.13,30.13,"emp"
"76126","Bosc-Mesnil",5,0,5,45,40,40,135,3.7,0,3.7,33.33,29.63,29.63,"int"
"76127","Bosc-Roger-Sur-Buchy",10,20,15,91,60,91,287,3.48,6.97,5.23,31.71,20.91,31.71,"int"
"76128","Bosville",0,12,12,40,80,72,216,0,5.56,5.56,18.52,37.04,33.33,"emp"
"76129","Boudeville",5,5,5,35,25,10,85,5.88,5.88,5.88,41.18,29.41,11.76,"int"
"76130","Bouelles",0,0,15,20,15,30,80,0,0,18.75,25,18.75,37.5,"ouv"
"76131","Bouille",0,31,46,112,71,71,331,0,9.37,13.9,33.84,21.45,21.45,"int"
"76132","Bourdainville",5,5,15,25,80,65,195,2.56,2.56,7.69,12.82,41.03,33.33,"emp"
"76133","Bourg-Dun",4,8,12,55,39,20,138,2.9,5.8,8.7,39.86,28.26,14.49,"int"
"76134","Bourville",0,15,0,10,55,35,115,0,13.04,0,8.7,47.83,30.43,"emp"
"76135","Bouville",10,20,39,118,98,74,359,2.79,5.57,10.86,32.87,27.3,20.61,"int"
"76136","Brachy",0,0,10,40,55,129,234,0,0,4.27,17.09,23.5,55.13,"ouv"
"76138","Bracquetuit",5,35,15,35,25,20,135,3.7,25.93,11.11,25.93,18.52,14.81,"art"
"76139","Bradiancourt",0,0,10,21,20,41,92,0,0,10.87,22.83,21.74,44.57,"ouv"
"76140","Brametot",0,9,9,19,0,23,60,0,15,15,31.67,0,38.33,"ouv"
"76141","Bréauté",15,10,35,120,182,123,485,3.09,2.06,7.22,24.74,37.53,25.36,"emp"
"76142","Brémontier-Merval",8,20,12,36,52,60,188,4.26,10.64,6.38,19.15,27.66,31.91,"ouv"
"76143","Bretteville-Du-Grand-Caux",10,20,45,135,185,120,515,1.94,3.88,8.74,26.21,35.92,23.3,"emp"
"76144","Bretteville-Saint-Laurent",5,0,5,27,10,21,68,7.35,0,7.35,39.71,14.71,30.88,"int"
"76146","Buchy",0,25,45,99,163,89,421,0,5.94,10.69,23.52,38.72,21.14,"emp"
"76147","Bully",10,5,25,93,88,64,285,3.51,1.75,8.77,32.63,30.88,22.46,"int"
"76148","Bures-En-Bray",0,12,4,12,52,44,124,0,9.68,3.23,9.68,41.94,35.48,"emp"
"76149","Butot",0,0,5,45,55,15,120,0,0,4.17,37.5,45.83,12.5,"emp"
"76151","Cailleville",5,10,10,30,30,25,110,4.55,9.09,9.09,27.27,27.27,22.73,"int"
"76152","Cailly",0,29,49,107,97,49,331,0,8.76,14.8,32.33,29.31,14.8,"int"
"76153","Calleville-Les-Deux-Églises",5,15,10,20,35,25,110,4.55,13.64,9.09,18.18,31.82,22.73,"emp"
"76154","Campneuseville",0,10,0,30,50,89,179,0,5.59,0,16.76,27.93,49.72,"ouv"
"76155","Canehan",8,0,8,30,13,29,88,9.09,0,9.09,34.09,14.77,32.95,"int"
"76156","Canouville",0,0,4,16,55,32,107,0,0,3.74,14.95,51.4,29.91,"emp"
"76157","Canteleu",4,178,395,1192,1570,1416,4755,0.08,3.74,8.31,25.07,33.02,29.78,"emp"
"76158","Canville-Les-Deux-Églises",0,25,10,15,20,25,95,0,26.32,10.53,15.79,21.05,26.32,"art"
"76159","Cany-Barville",35,45,80,290,325,315,1090,3.21,4.13,7.34,26.61,29.82,28.9,"emp"
"76160","Carville-La-Folletière",0,12,29,41,45,53,180,0,6.67,16.11,22.78,25,29.44,"ouv"
"76161","Carville-Pot-De-Fer",8,0,4,8,4,16,40,20,0,10,20,10,40,"ouv"
"76162","Catelier",4,4,8,42,17,25,100,4,4,8,42,17,25,"int"
"76163","Catenay",5,5,45,91,60,50,256,1.95,1.95,17.58,35.55,23.44,19.53,"int"
"76164","Rives-En-Seine",23,64,159,312,498,417,1473,1.56,4.34,10.79,21.18,33.81,28.31,"emp"
"76165","Caudebec-Lès-Elbeuf",4,137,189,680,1147,1187,3344,0.12,4.1,5.65,20.33,34.3,35.5,"ouv"
"76166","Caule-Sainte-Beuve",15,5,5,40,40,60,165,9.09,3.03,3.03,24.24,24.24,36.36,"ouv"
"76167","Cauville-Sur-Mer",5,40,115,165,139,99,563,0.89,7.1,20.43,29.31,24.69,17.58,"int"
"76168","Cent-Acres",0,0,0,9,0,13,22,0,0,0,40.91,0,59.09,"ouv"
"76169","Cerlangue",0,5,75,150,105,110,445,0,1.12,16.85,33.71,23.6,24.72,"int"
"76170","Chapelle-Du-Bourgay",0,0,15,10,20,10,55,0,0,27.27,18.18,36.36,18.18,"emp"
"76171","Chapelle-Saint-Ouen",14,0,5,14,14,9,56,25,0,8.93,25,25,16.07,"agr"
"76172","Chapelle-Sur-Dun",5,0,0,5,21,16,47,10.64,0,0,10.64,44.68,34.04,"emp"
"76173","Chaussée",4,4,35,17,121,56,237,1.69,1.69,14.77,7.17,51.05,23.63,"emp"
"76174","Cideville",9,13,13,38,8,34,115,7.83,11.3,11.3,33.04,6.96,29.57,"int"
"76175","Clais",10,10,5,30,20,30,105,9.52,9.52,4.76,28.57,19.05,28.57,"int"
"76176","Clasville",0,8,8,24,28,20,88,0,9.09,9.09,27.27,31.82,22.73,"emp"
"76177","Claville-Motteville",5,10,10,21,31,26,103,4.85,9.71,9.71,20.39,30.1,25.24,"emp"
"76178","Cléon",0,43,55,323,535,552,1508,0,2.85,3.65,21.42,35.48,36.6,"ouv"
"76179","Clères",4,39,90,121,148,105,507,0.79,7.69,17.75,23.87,29.19,20.71,"emp"
"76180","Cleuville",0,8,0,20,16,36,80,0,10,0,25,20,45,"ouv"
"76181","Cléville",0,10,15,5,10,20,60,0,16.67,25,8.33,16.67,33.33,"ouv"
"76182","Cliponville",5,0,25,20,20,20,90,5.56,0,27.78,22.22,22.22,22.22,"cad"
"76183","Colleville",5,20,6,95,75,80,281,1.78,7.12,2.14,33.81,26.69,28.47,"int"
"76184","Colmesnil-Manneville",0,0,15,5,10,5,35,0,0,42.86,14.29,28.57,14.29,"cad"
"76185","Compainville",20,5,0,0,20,10,55,36.36,9.09,0,0,36.36,18.18,"agr"
"76186","Conteville",15,26,10,51,41,72,215,6.98,12.09,4.65,23.72,19.07,33.49,"ouv"
"76187","Contremoulins",16,5,10,10,16,10,67,23.88,7.46,14.93,14.93,23.88,14.93,"agr"
"76188","Cottévrard",0,15,10,30,70,65,190,0,7.89,5.26,15.79,36.84,34.21,"emp"
"76189","Crasville-La-Mallet",5,0,5,5,5,16,36,13.89,0,13.89,13.89,13.89,44.44,"ouv"
"76190","Crasville-La-Rocquefort",8,12,0,4,16,24,64,12.5,18.75,0,6.25,25,37.5,"ouv"
"76191","Cressy",10,5,10,35,35,30,125,8,4,8,28,28,24,"int"
"76192","Criel-Sur-Mer",10,99,69,220,179,284,861,1.16,11.5,8.01,25.55,20.79,32.98,"ouv"
"76193","Crique",12,8,0,8,64,48,140,8.57,5.71,0,5.71,45.71,34.29,"emp"
"76194","Criquebeuf-En-Caux",0,4,20,28,37,20,109,0,3.67,18.35,25.69,33.94,18.35,"emp"
"76195","Criquetot-Le-Mauconduit",0,26,0,20,10,10,66,0,39.39,0,30.3,15.15,15.15,"art"
"76196","Criquetot-L'esneval",29,39,74,191,298,254,885,3.28,4.41,8.36,21.58,33.67,28.7,"emp"
"76197","Criquetot-Sur-Longueville",5,0,5,24,43,14,91,5.49,0,5.49,26.37,47.25,15.38,"emp"
"76198","Criquetot-Sur-Ouville",0,20,41,98,77,53,289,0,6.92,14.19,33.91,26.64,18.34,"int"
"76199","Criquiers",5,15,20,30,70,106,246,2.03,6.1,8.13,12.2,28.46,43.09,"ouv"
"76200","Critot",0,5,31,52,36,58,182,0,2.75,17.03,28.57,19.78,31.87,"ouv"
"76201","Croisy-Sur-Andelle",0,15,10,70,70,55,220,0,6.82,4.55,31.82,31.82,25,"int"
"76202","Croixdalle",0,0,0,18,35,44,97,0,0,0,18.56,36.08,45.36,"ouv"
"76203","Croix-Mare",5,30,25,89,64,69,282,1.77,10.64,8.87,31.56,22.7,24.47,"int"
"76204","Cropus",0,8,8,28,24,32,100,0,8,8,28,24,32,"ouv"
"76205","Crosville-Sur-Scie",4,0,12,12,32,12,72,5.56,0,16.67,16.67,44.44,16.67,"emp"
"76206","Cuverville",0,5,10,55,40,25,135,0,3.7,7.41,40.74,29.63,18.52,"int"
"76207","Cuverville-Sur-Yères",20,0,5,20,0,17,62,32.26,0,8.06,32.26,0,27.42,"agr"
"76208","Cuy-Saint-Fiacre",0,20,29,44,64,103,260,0,7.69,11.15,16.92,24.62,39.62,"ouv"
"76209","Dampierre-En-Bray",20,24,16,52,36,56,204,9.8,11.76,7.84,25.49,17.65,27.45,"ouv"
"76210","Dampierre-Saint-Nicolas",0,24,24,56,56,56,216,0,11.11,11.11,25.93,25.93,25.93,"int"
"76211","Dancourt",20,10,0,0,0,45,75,26.67,13.33,0,0,0,60,"ouv"
"76212","Darnétal",0,133,311,776,1225,933,3378,0,3.94,9.21,22.97,36.26,27.62,"emp"
"76213","Daubeuf-Serville",0,4,8,16,52,56,136,0,2.94,5.88,11.76,38.24,41.18,"ouv"
"76214","Dénestanville",0,10,5,15,29,44,103,0,9.71,4.85,14.56,28.16,42.72,"ouv"
"76216","Déville-Lès-Rouen",0,171,475,1120,1290,865,3921,0,4.36,12.11,28.56,32.9,22.06,"emp"
"76217","Dieppe",32,393,890,1796,3038,2488,8637,0.37,4.55,10.3,20.79,35.17,28.81,"emp"
"76218","Doudeauville",5,5,0,20,5,10,45,11.11,11.11,0,44.44,11.11,22.22,"int"
"76219","Doudeville",0,55,31,238,248,241,813,0,6.77,3.81,29.27,30.5,29.64,"emp"
"76220","Douvrend",0,12,12,32,69,49,174,0,6.9,6.9,18.39,39.66,28.16,"emp"
"76221","Drosay",5,0,10,25,15,20,75,6.67,0,13.33,33.33,20,26.67,"int"
"76222","Duclair",5,85,145,354,469,374,1432,0.35,5.94,10.13,24.72,32.75,26.12,"emp"
"76223","Écalles-Alix",16,16,16,53,65,49,215,7.44,7.44,7.44,24.65,30.23,22.79,"emp"
"76224","Écrainville",5,30,70,125,110,75,415,1.2,7.23,16.87,30.12,26.51,18.07,"int"
"76225","Écretteville-Lès-Baons",0,10,25,45,25,50,155,0,6.45,16.13,29.03,16.13,32.26,"ouv"
"76226","Écretteville-Sur-Mer",0,0,12,25,20,25,82,0,0,14.63,30.49,24.39,30.49,"int"
"76227","Ectot-L'auber",0,19,38,85,113,66,321,0,5.92,11.84,26.48,35.2,20.56,"emp"
"76228","Ectot-Lès-Baons",0,8,28,40,24,32,132,0,6.06,21.21,30.3,18.18,24.24,"int"
"76229","Elbeuf-En-Bray",16,8,28,32,28,65,177,9.04,4.52,15.82,18.08,15.82,36.72,"ouv"
"76230","Elbeuf-Sur-Andelle",0,26,43,34,55,47,205,0,12.68,20.98,16.59,26.83,22.93,"emp"
"76231","Elbeuf",0,199,336,1260,1770,2149,5714,0,3.48,5.88,22.05,30.98,37.61,"ouv"
"76232","Életot",0,15,20,35,80,90,240,0,6.25,8.33,14.58,33.33,37.5,"ouv"
"76233","Ellecourt",0,0,0,5,14,24,43,0,0,0,11.63,32.56,55.81,"ouv"
"76234","Émanville",5,0,15,85,120,85,310,1.61,0,4.84,27.42,38.71,27.42,"emp"
"76235","Envermeu",10,40,91,116,196,262,715,1.4,5.59,12.73,16.22,27.41,36.64,"ouv"
"76236","Envronville",0,8,4,41,28,49,130,0,6.15,3.08,31.54,21.54,37.69,"ouv"
"76237","Épinay-Sur-Duclair",19,0,20,60,79,80,258,7.36,0,7.75,23.26,30.62,31.01,"ouv"
"76238","Épouville",0,35,162,303,268,151,919,0,3.81,17.63,32.97,29.16,16.43,"int"
