"lat","long","dep"
"5.34863678027805","46.0997319897024","ain"
"3.55952371331737","49.5609270258202","aisne"
"3.18752132771126","46.393596612331","allier"
"6.24476880059053","44.1061447298404","alpes-de-haute-provence"
"6.26543560064674","44.6640032644075","hautes-alpes"
"7.11671118004348","43.9380094578639","alpes-maritimes"
"4.42556681680607","44.7527730893691","ardeche"
"4.64053202778397","49.6163093362492","ardennes"
"1.50377734157951","42.9210998577697","ariege"
"4.16152914457702","48.3046157823856","aube"
"2.41402158487907","43.1032513829311","aude"
"2.67857017464304","44.2811198302897","aveyron"
"5.08566630390672","43.5433449888933","bouches-du-rhone"
"-0.363035642816699","49.0995435711591","calvados"
"2.66897773786192","45.0513452644973","cantal"
"0.203035300610133","45.7187022058009","charente"
"-0.650225027256681","45.7726509071995","charente-maritimes"
"2.49109671006757","47.0657741975789","cher"
"1.87761704909745","45.3572857415474","correze"
"4.77273402364577","47.4261039765916","cote-dor"
"-2.86431472547521","48.4404668685539","cotes-darmor"
"2.01810557586246","46.0905901361543","creuse"
"0.741090441759206","45.1049750994198","dordogne"
"6.3628302056117","47.1660341897931","doubs"
"5.16352115906376","44.6790730712288","drome"
"0.996281368421522","49.1136351329103","eure"
"1.37008004144086","48.3880475892251","eure-et-loire"
"-4.05786438837394","48.2611241439907","finistere"
"8.98746559171243","41.8639876865768","corse"
"4.17962756436722","43.9936596075407","gard"
"1.17485490372423","43.3587055013217","haute-garonne"
"0.452885779961192","43.6929584270809","gers"
"-0.576916650995721","44.8262501132739","gironde"
"3.36871276624596","43.5793165231191","herault"
"-1.63422067805283","48.1511845930006","ille-et-vilaine"
"1.57590139855386","46.7783227509812","indre"
"0.691000544273561","47.2585967233169","indre-et-loire"
"5.57406002900185","45.2640666091204","isere"
"5.69739840226616","46.7293887232361","jura"
"-0.783908281123802","43.9659017924409","landes"
"1.4279595376","47.6169721383516","loir-et-cher"
"4.16450908629336","45.7279782196974","loire"
"3.80631341032574","45.1281277373632","haute-loire"
"-1.68225460524661","47.3616764650845","loire-atlantique"
"2.34399874530544","47.9118732629657","loiret"
"1.60552640937422","44.6246647620317","lot"
"0.460805046677005","44.3679649998983","lot-et-garonne"
"3.49968426067318","44.517554846593","lozere"
"-0.564220311095504","47.3911858523785","maine-et-loire"
"-1.33088258939786","49.0821927716839","manche"
"4.23873727281522","48.9495115432991","marne"
"5.22556520911945","48.110458714601","haute-marne"
"-0.657417489134645","48.1473787836853","mayenne"
"6.16257866296529","48.7881944240573","meurthe-et-moselle"
"5.38130077515005","48.991453618157","meuse"
"-2.80599099860389","47.8538408386633","morbihan"
"6.66138975445329","49.0375378970186","moselle"
"3.50427119715202","47.1158059895625","nievre"
"3.21428689091655","50.4498297389533","nord"
"2.42505156667419","49.4099865288226","oise"
"0.127692627832148","48.6230799391885","orne"
"2.28822690271837","50.4928182745431","pas-de-calais"
"3.14004293976612","45.7259346674476","puy-de-dome"
"-0.757474890378944","43.256618923283","pyrenees-atlantiques"
"0.166430372473588","43.0514205053362","hautes-pyrenees"
"2.52078884343214","42.5994662548435","pyrenees-orientales"
"7.5521315067324","48.6715020900646","bas-rhin"
"7.27394233610285","47.8593575368593","haut-rhin"
"4.64071602063259","45.8711307774931","rhone"
"6.08701648632369","47.6412233078553","haute-saone"
"4.54278425780605","46.6448022714665","saone-et-loire"
"0.222473770865573","47.9949316888019","sarthe"
"6.44287382701711","45.4776494509997","savoie"
"6.4282669501216","46.0347839943306","haute-savoie"
"2.3427010813383","48.8565865443837","paris"
"1.02708099110132","49.6547015355725","seine-maritime"
"2.93404209652128","48.6274245359241","seine-et-marne"
"1.84121561329827","48.8152971350886","yvelines"
"-0.317732250001684","46.5569620303756","deux-sevres"
"2.27543459102361","49.958308630257","somme"
"2.16571405840446","43.7856839962209","tarn"
"1.28237998920411","44.0858180561911","tarn-et-garonne"
"6.24417496168723","43.4436670958586","var"
"5.1851964051995","43.9941573439664","vaucluse"
"-1.28870622213148","46.6718459236632","vendee"
"0.459427715912825","46.5649157352718","vienne"
"1.23485904315999","45.8923878113128","haute-vienne"
"6.38022826228296","48.1961957123043","vosges"
"3.56329248510284","47.8405413723589","yonne"
"6.92846638989102","47.6319752459061","territoire-de-belfort"
"2.2434244601996","48.5225984197511","essonne"
"2.245857837575","48.8476685860573","hauts-de-seine"
"2.47840769479846","48.9175318507197","seine-saint-denis"
"2.46918782263337","48.7773761886144","val-de-marne"
"2.13068159262825","49.0827506629151","val-doise"
"-2","41.5","dom-tom"
